airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Indigo,2019-05-01,Kolkata,Banglore,15:30:00,18:05:00,155,0.0,No Info,4804
Jet Airways,2019-06-27,Delhi,Cochin,21:50:00,04:25:00,395,1.0,In-flight meal not included,12898
Multiple Carriers,2019-05-18,Delhi,Cochin,07:05:00,19:15:00,730,1.0,No Info,14533
Multiple Carriers,2019-06-09,Delhi,Cochin,04:55:00,19:00:00,845,1.0,No Info,10877
Jet Airways,2019-05-21,Kolkata,Banglore,16:30:00,23:35:00,425,1.0,No Info,14781
Air India,2019-04-01,Kolkata,Banglore,16:50:00,07:55:00,905,1.0,No Info,7893
Indigo,2019-04-09,Delhi,Cochin,11:25:00,01:30:00,845,1.0,No Info,6270
Jet Airways,2019-05-06,Kolkata,Banglore,16:30:00,04:40:00,730,1.0,In-flight meal not included,8586
Spicejet,2019-06-15,Kolkata,Banglore,14:55:00,17:25:00,150,0.0,No check-in baggage included,3841
Jet Airways,2019-05-27,Delhi,Cochin,09:00:00,04:25:00,1165,1.0,In-flight meal not included,12898
Air India,2019-05-27,Delhi,Cochin,19:45:00,19:15:00,1410,2.0,No Info,10441
Jet Airways,2019-03-06,Banglore,New Delhi,09:45:00,14:25:00,280,1.0,No Info,16757
Jet Airways,2019-06-27,Delhi,Cochin,23:05:00,12:35:00,810,2.0,No Info,12819
Indigo,2019-05-09,Delhi,Cochin,06:50:00,16:10:00,560,1.0,No Info,6442
Multiple Carriers,2019-05-15,Delhi,Cochin,06:00:00,21:00:00,900,1.0,No Info,7670
Jet Airways,2019-03-27,Delhi,Cochin,05:10:00,18:50:00,820,2.0,In-flight meal not included,8518
Air Asia,2019-05-18,Delhi,Cochin,07:55:00,13:25:00,330,1.0,No Info,8759
Jet Airways,2019-05-18,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,5198
Multiple Carriers,2019-06-09,Delhi,Cochin,11:40:00,21:00:00,560,1.0,No Info,7005
Jet Airways,2019-03-01,Banglore,New Delhi,16:55:00,10:25:00,1050,1.0,1 Long layover,25735
Vistara,2019-04-06,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No Info,5613
Air India,2019-03-09,Delhi,Cochin,10:55:00,19:15:00,1940,2.0,No Info,17476
Multiple Carriers,2019-03-06,Delhi,Cochin,10:20:00,18:50:00,510,1.0,No Info,15411
Jet Airways,2019-06-24,Delhi,Cochin,21:25:00,12:35:00,910,2.0,In-flight meal not included,10199
Jet Airways,2019-03-24,Banglore,New Delhi,19:55:00,22:35:00,160,0.0,No Info,7229
Air India,2019-05-12,Kolkata,Banglore,09:25:00,11:10:00,1545,1.0,No Info,8891
Indigo,2019-05-21,Mumbai,Hyderabad,16:55:00,18:25:00,90,0.0,No Info,3175
Air India,2019-03-03,Delhi,Cochin,08:00:00,19:15:00,675,1.0,No Info,15197
Air Asia,2019-05-09,Delhi,Cochin,07:55:00,13:25:00,330,1.0,No Info,6751
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,22:35:00,510,1.0,In-flight meal not included,10844
Vistara,2019-05-12,Kolkata,Banglore,17:00:00,18:50:00,1550,1.0,No Info,9135
Jet Airways,2019-05-09,Delhi,Cochin,20:55:00,04:25:00,450,1.0,No Info,15554
Jet Airways,2019-06-06,Delhi,Cochin,05:30:00,04:25:00,1375,2.0,In-flight meal not included,10368
Air India,2019-03-01,Banglore,New Delhi,05:50:00,08:50:00,1620,3.0,No Info,13081
Jet Airways,2019-04-01,Kolkata,Banglore,06:30:00,18:15:00,705,1.0,No Info,12681
Indigo,2019-06-09,Chennai,Kolkata,05:15:00,07:40:00,145,0.0,No Info,3540
Jet Airways,2019-05-09,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,In-flight meal not included,9663
Vistara,2019-05-21,Kolkata,Banglore,07:10:00,20:20:00,790,1.0,No Info,9345
Jet Airways,2019-05-12,Kolkata,Banglore,16:30:00,20:45:00,1695,1.0,In-flight meal not included,10844
Air India,2019-05-24,Banglore,Delhi,17:00:00,19:45:00,165,0.0,No Info,7171
Vistara,2019-03-01,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No Info,9125
Jet Airways,2019-06-12,Delhi,Cochin,09:35:00,04:25:00,1130,2.0,No Info,13292
Jet Airways,2019-06-01,Delhi,Cochin,21:25:00,19:00:00,1295,2.0,No Info,13292
Jet Airways,2019-06-12,Kolkata,Banglore,18:55:00,18:15:00,1400,1.0,No Info,13044
Indigo,2019-05-24,Banglore,Delhi,22:10:00,01:00:00,170,0.0,No Info,3419
Vistara,2019-04-27,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No Info,5613
Jet Airways,2019-06-03,Delhi,Cochin,18:25:00,12:35:00,1090,2.0,No Info,14237
Indigo,2019-06-06,Delhi,Cochin,17:05:00,22:25:00,320,1.0,No Info,6493
Spicejet,2019-03-09,Banglore,New Delhi,05:45:00,08:35:00,170,0.0,No Info,5126
Multiple Carriers,2019-05-27,Delhi,Cochin,07:05:00,21:00:00,835,1.0,In-flight meal not included,10406
Jet Airways,2019-05-01,Kolkata,Banglore,18:55:00,04:40:00,585,1.0,In-flight meal not included,8586
Spicejet,2019-05-18,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No Info,3597
Jet Airways,2019-06-24,Delhi,Cochin,15:00:00,12:35:00,1295,1.0,In-flight meal not included,10262
Jet Airways,2019-05-24,Kolkata,Banglore,14:05:00,23:35:00,570,1.0,No Info,14571
Indigo,2019-06-06,Kolkata,Banglore,22:15:00,00:50:00,155,0.0,No Info,4804
Jet Airways,2019-06-01,Delhi,Cochin,19:15:00,12:35:00,1040,1.0,In-flight meal not included,10262
Indigo,2019-05-24,Banglore,Delhi,13:00:00,15:50:00,170,0.0,No Info,4990
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,22:35:00,365,1.0,In-flight meal not included,9899
Jet Airways,2019-03-01,Banglore,New Delhi,05:45:00,15:15:00,570,1.0,No Info,26890
Indigo,2019-04-09,Banglore,Delhi,04:00:00,06:50:00,170,0.0,No Info,3943
Indigo,2019-03-09,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,6297
Indigo,2019-04-01,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No Info,4488
Jet Airways,2019-06-15,Delhi,Cochin,07:05:00,12:35:00,330,1.0,No Info,14714
Air India,2019-03-24,Banglore,New Delhi,13:20:00,16:10:00,170,0.0,No Info,7276
Jet Airways,2019-03-15,Banglore,New Delhi,07:00:00,12:15:00,315,1.0,No Info,17524
Indigo,2019-05-21,Delhi,Cochin,15:00:00,01:30:00,630,1.0,No Info,6896
Jet Airways,2019-04-01,Kolkata,Banglore,08:25:00,19:50:00,685,1.0,No Info,12681
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,08:15:00,735,1.0,No Info,14571
Jet Airways,2019-04-09,Delhi,Cochin,09:25:00,04:25:00,1140,2.0,No Info,11546
Jet Airways,2019-05-01,Kolkata,Banglore,06:30:00,09:20:00,1610,1.0,In-flight meal not included,9663
Air Asia,2019-06-03,Delhi,Cochin,16:45:00,22:25:00,340,1.0,No Info,11410
Air India,2019-06-01,Delhi,Cochin,10:55:00,19:15:00,500,2.0,No Info,13013
Indigo,2019-06-01,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No Info,4804
Vistara,2019-03-06,Mumbai,Hyderabad,08:45:00,16:45:00,480,1.0,No Info,12395
Jet Airways,2019-06-24,Delhi,Cochin,06:45:00,04:25:00,1300,2.0,No Info,13376
Air Asia,2019-05-18,Kolkata,Banglore,19:55:00,23:30:00,215,1.0,No Info,6857
Multiple Carriers,2019-06-12,Delhi,Cochin,10:00:00,19:15:00,555,1.0,No Info,14848
Air India,2019-06-12,Delhi,Cochin,20:40:00,09:25:00,765,1.0,No Info,7480
Jet Airways,2019-06-06,Delhi,Cochin,18:15:00,04:25:00,610,1.0,In-flight meal not included,10262
Jet Airways,2019-06-03,Delhi,Cochin,18:15:00,19:00:00,1485,1.0,In-flight meal not included,10262
Indigo,2019-05-12,Kolkata,Banglore,22:15:00,00:50:00,155,0.0,No Info,4804
